Ciudad,Fecha,Temperatura_maxima,Temperatura_minima,Temperatura_promedio
"Bogotá, D.C., Colombia",2020-12-01,20,11,14.800000000000001
"Bogotá, D.C., Colombia",2020-12-02,19,11,14.4
"Bogotá, D.C., Colombia",2020-12-03,20,12,14.5
"Bogotá, D.C., Colombia",2020-12-04,21,6.2000000000000002,14.199999999999999
"Bogotá, D.C., Colombia",2020-12-05,19,8.4000000000000004,13.4
"Bogotá, D.C., Colombia",2020-12-06,19,6.4000000000000004,13.300000000000001
"Bogotá, D.C., Colombia",2020-12-07,18,6,12.5
"Bogotá, D.C., Colombia",2020-12-08,21,7.5999999999999996,13.9
"Bogotá, D.C., Colombia",2020-12-09,19,6.7999999999999998,13.800000000000001
"Bogotá, D.C., Colombia",2020-12-10,19,6.2000000000000002,12.9
"Bogotá, D.C., Colombia",2020-12-11,21,5.5999999999999996,13.800000000000001
"Bogotá, D.C., Colombia",2020-12-12,20,2.7999999999999998,12.4
"Bogotá, D.C., Colombia",2020-12-13,21,4,13.199999999999999
"Bogotá, D.C., Colombia",2020-12-14,19,4.7999999999999998,12.699999999999999
"Bogotá, D.C., Colombia",2020-12-15,21,3.2999999999999998,13.4
"Bogotá, D.C., Colombia",2020-12-16,21,7.9000000000000004,14.5
"Bogotá, D.C., Colombia",2020-12-17,20,7,13.199999999999999
"Bogotá, D.C., Colombia",2020-12-18,20,7,13.9
"Bogotá, D.C., Colombia",2020-12-19,19,12,15.1
"Bogotá, D.C., Colombia",2020-12-20,20,9.0999999999999996,14.800000000000001
"Bogotá, D.C., Colombia",2020-12-21,22,5.2000000000000002,13.199999999999999
"Bogotá, D.C., Colombia",2020-12-22,20,7.5999999999999996,13
"Bogotá, D.C., Colombia",2020-12-23,20,7,14
"Bogotá, D.C., Colombia",2020-12-24,21,12,15.300000000000001
"Bogotá, D.C., Colombia",2020-12-25,19,11,14.9
"Bogotá, D.C., Colombia",2020-12-26,19,7.4000000000000004,13.300000000000001
"Bogotá, D.C., Colombia",2020-12-27,19,7.5999999999999996,12.9
